cast_vote_record,precinct,ballot_style,governor_lt_governor,comptroller,attorney_general,u_s_senator,representative_in_congress_6
655,002-003,002-003,DEM,DEM,DEM,DEM,DEM
658,023-001,023-001,REP,REP,REP,REP,REP
659,002-010,002-010,DEM,DEM,DEM,DEM,DEM
662,024-002,024-002,DEM,DEM,DEM,DEM,DEM
664,014-001,014-001,REP,REP,REP,REP,REP
666,021-003,021-003,REP,REP,REP,REP,REP
667,002-003,002-003,REP,REP,REP,REP,REP
668,018-002,018-002,DEM,DEM,DEM,DEM,DEM
670,002-015,002-015,DEM,DEM,DEM,DEM,DEM
673,009-008,009-008,REP,REP,REP,REP,REP
675,002-001,002-001,DEM,DEM,DEM,DEM,DEM
676,002-005,002-005,DEM,DEM,DEM,DEM,DEM
679,002-005,002-005,DEM,DEM,DEM,DEM,DEM
680,002-011,002-011,DEM,REP,REP,DEM,REP
681,002-014,002-014,REP,REP,DEM,DEM,REP
682,021-004,021-004,DEM,DEM,DEM,DEM,DEM
683,021-001,021-001,DEM,DEM,DEM,DEM,DEM
685,021-007,021-007,DEM,DEM,DEM,DEM,DEM
686,023-005,023-005,REP,REP,REP,REP,REP
689,009-007,009-007,DEM,DEM,DEM,DEM,DEM
690,002-006,002-006,REP,REP,REP,REP,REP
699,002-011,002-011,DEM,DEM,REP,DEM,DEM
701,002-007,002-007,REP,REP,REP,REP,REP
702,001-002,001-002,REP,REP,REP,REP,REP
704,002-001,002-001,DEM,DEM,DEM,DEM,DEM
705,009-008,009-008,DEM,DEM,DEM,DEM,DEM
706,002-005,002-005,DEM,DEM,DEM,DEM,DEM
709,021-004,021-004,REP,REP,REP,REP,REP
711,023-005,023-005,DEM,DEM,DEM,DEM,DEM
713,002-014,002-014,REP,REP,REP,REP,REP
714,002-007,002-007,DEM,DEM,DEM,DEM,DEM
716,003-003,003-003,REP,REP,REP,REP,REP
717,012-001,012-001,DEM,DEM,DEM,DEM,DEM
719,002-018,002-018,DEM,DEM,DEM,DEM,DEM
721,009-006,009-006,REP,REP,REP,REP,REP
722,009-001,009-001,DEM,REP,DEM,DEM,DEM
724,002-014,002-014,DEM,DEM,DEM,DEM,DEM
726,002-016,002-016,DEM,DEM,DEM,DEM,DEM
727,013-001,013-001,REP,REP,REP,REP,REP
728,002-014,002-014,DEM,REP,DEM,DEM,DEM
729,018-002,018-002,REP,REP,REP,REP,REP
732,002-015,002-015,REP,REP,REP,REP,REP
733,021-001,021-001,DEM,DEM,DEM,DEM,DEM
734,002-010,002-010,REP,REP,REP,REP,REP
740,021-004,021-004,DEM,DEM,DEM,DEM,DEM
743,021-004,021-004,DEM,DEM,DEM,DEM,DEM
746,002-001,002-001,REP,REP,REP,undervote,REP
747,023-005,023-005,DEM,DEM,DEM,DEM,DEM
750,002-002,002-002,DEM,DEM,DEM,DEM,DEM
753,002-003,002-003,GRE,DEM,DEM,DEM,DEM
754,021-004,021-004,DEM,DEM,DEM,DEM,DEM
758,013-003,013-003,DEM,REP,DEM,DEM,DEM
763,023-005,023-005,REP,REP,REP,REP,REP
765,013-001,013-001,DEM,DEM,DEM,DEM,DEM
767,002-014,002-014,DEM,DEM,DEM,DEM,DEM
770,009-005,009-005,DEM,DEM,DEM,DEM,DEM
772,002-007,002-007,DEM,DEM,DEM,DEM,DEM
773,014-001,014-001,REP,REP,REP,REP,REP
775,014-001,014-001,DEM,REP,REP,REP,REP
776,026-002,026-002,DEM,DEM,DEM,DEM,DEM
781,014-001,014-001,REP,REP,REP,REP,REP
783,002-014,002-014,DEM,REP,DEM,DEM,DEM
785,001-002,001-002,DEM,DEM,DEM,DEM,DEM
786,001-003,001-003,REP,REP,REP,REP,REP
789,002-001,002-001,DEM,DEM,DEM,DEM,DEM
793,013-001,013-001,REP,REP,REP,REP,REP
795,001-002,001-002,REP,REP,REP,REP,REP
797,024-005,024-005,DEM,DEM,DEM,DEM,DEM
800,002-016,002-016,DEM,REP,REP,DEM,DEM
802,002-003,002-003,undervote,REP,REP,REP,REP
803,012-001,012-001,DEM,DEM,DEM,DEM,DEM
805,021-004,021-004,DEM,DEM,DEM,DEM,DEM
807,018-001,018-001,DEM,DEM,DEM,DEM,DEM
809,002-005,002-005,DEM,DEM,DEM,DEM,DEM
810,001-002,001-002,REP,REP,REP,REP,REP
812,002-006,002-006,DEM,REP,REP,REP,DEM
813,024-005,024-005,DEM,DEM,DEM,DEM,DEM
814,002-008,002-008,undervote,undervote,undervote,undervote,undervote
815,002-017,002-017,DEM,DEM,DEM,DEM,DEM
817,023-001,023-001,DEM,DEM,DEM,DEM,DEM
820,023-005,023-005,REP,REP,REP,REP,REP
824,002-013,002-013,REP,REP,REP,REP,REP
826,002-015,002-015,DEM,DEM,DEM,DEM,DEM
828,023-005,023-005,DEM,DEM,DEM,DEM,DEM
831,002-005,002-005,DEM,DEM,DEM,DEM,DEM
832,021-004,021-004,DEM,DEM,DEM,DEM,DEM
836,002-015,002-015,DEM,DEM,DEM,DEM,DEM
838,026-001,026-001,DEM,DEM,DEM,DEM,DEM
841,002-005,002-005,DEM,DEM,DEM,DEM,DEM
843,002-013,002-013,DEM,DEM,DEM,DEM,DEM
845,021-004,021-004,REP,REP,DEM,REP,REP
848,002-011,002-011,DEM,DEM,DEM,DEM,DEM
850,002-011,002-011,DEM,DEM,DEM,DEM,DEM
851,002-014,002-014,DEM,DEM,DEM,DEM,DEM
853,002-006,002-006,DEM,DEM,DEM,DEM,DEM
855,013-001,013-001,DEM,DEM,DEM,DEM,DEM
858,023-005,023-005,DEM,DEM,DEM,DEM,DEM
859,026-001,026-001,REP,REP,REP,REP,DEM
861,002-015,002-015,REP,REP,REP,REP,REP
862,013-001,013-001,DEM,DEM,DEM,DEM,DEM
863,002-013,002-013,DEM,REP,DEM,DEM,DEM
865,021-007,021-007,DEM,REP,DEM,DEM,DEM
868,002-006,002-006,DEM,DEM,DEM,DEM,DEM
871,023-001,023-001,LIB,REP,REP,REP,REP
873,002-004,002-004,DEM,DEM,DEM,DEM,DEM
875,001-002,001-002,DEM,DEM,DEM,DEM,DEM
878,009-009,009-009,DEM,DEM,DEM,DEM,DEM
882,021-004,021-004,DEM,DEM,DEM,DEM,DEM
883,026-002,026-002,REP,REP,REP,REP,REP
884,002-011,002-011,DEM,REP,DEM,DEM,DEM
886,009-009,009-009,DEM,DEM,DEM,DEM,DEM
887,002-007,002-007,REP,REP,REP,REP,REP
889,002-010,002-010,DEM,DEM,DEM,DEM,DEM
890,001-002,001-002,REP,REP,REP,REP,REP
892,002-014,002-014,DEM,DEM,DEM,DEM,DEM
893,026-001,026-001,DEM,DEM,DEM,DEM,DEM
895,021-007,021-007,REP,REP,REP,REP,REP
897,021-003,021-003,REP,REP,REP,REP,REP
899,002-005,002-005,DEM,DEM,DEM,DEM,DEM
901,001-002,001-002,DEM,DEM,DEM,DEM,DEM
904,002-015,002-015,REP,REP,REP,REP,REP
908,020-001,020-001,DEM,DEM,DEM,DEM,DEM
909,002-013,002-013,DEM,DEM,DEM,DEM,DEM
910,023-001,023-001,REP,REP,REP,REP,REP
912,002-006,002-006,DEM,DEM,DEM,DEM,DEM
913,020-001,020-001,DEM,DEM,DEM,DEM,DEM
917,021-002,021-002,REP,REP,REP,REP,REP
918,002-010,002-010,DEM,DEM,DEM,DEM,DEM
921,002-018,002-018,DEM,DEM,REP,DEM,DEM
922,002-001,002-001,DEM,undervote,DEM,undervote,undervote
923,021-004,021-004,WCP,DEM,DEM,DEM,DEM
926,002-013,002-013,DEM,DEM,DEM,DEM,DEM
928,001-003,001-003,DEM,REP,DEM,DEM,DEM
930,021-004,021-004,REP,DEM,DEM,DEM,DEM
931,021-004,021-004,DEM,REP,REP,DEM,REP
932,018-002,018-002,DEM,DEM,DEM,DEM,DEM
938,002-004,002-004,DEM,DEM,DEM,DEM,DEM
939,009-001,009-001,REP,REP,REP,REP,REP
941,009-007,009-007,DEM,REP,REP,DEM,REP
943,001-001,001-001,undervote,undervote,DEM,undervote,DEM
945,002-001,002-001,DEM,DEM,DEM,DEM,DEM
947,002-005,002-005,DEM,DEM,DEM,DEM,DEM
950,002-007,002-007,DEM,DEM,DEM,DEM,DEM
951,002-010,002-010,DEM,DEM,DEM,DEM,DEM
954,002-011,002-011,WCP,DEM,DEM,DEM,DEM
958,001-002,001-002,DEM,DEM,DEM,DEM,DEM
959,002-005,002-005,DEM,DEM,DEM,DEM,DEM
960,002-005,002-005,DEM,DEM,DEM,DEM,DEM
961,002-015,002-015,DEM,DEM,DEM,DEM,DEM
963,002-013,002-013,undervote,DEM,undervote,undervote,DEM
964,002-015,002-015,DEM,DEM,REP,REP,undervote
965,021-004,021-004,DEM,DEM,DEM,DEM,DEM
967,002-006,002-006,DEM,DEM,DEM,DEM,DEM
971,021-003,021-003,DEM,DEM,DEM,DEM,DEM
