"County","County Name","Election District - Precinct","Congressional","Legislative","Office Name","Office District","Candidate Name","Party","Winner","Write-In?","Early Votes","Early Votes Against","Election Night Votes","Election Night Votes Against","Mail-In Ballot 1 Votes","Mail-In Ballot 1 Votes Against","Provisional Votes","Provisional Votes Against","Mail-In Ballot 2 Votes","Mail-In Ballot 2 Votes Against" 
"01","Allegany County","001-000","06","01C","Appeals Judge MD at Lrg","","Anne K. Albright","JUD","Y","","43","16","205","90","29","6","7","1","0","1" 
"01","Allegany County","001-000","06","01C","Appeals Judge MD at Lrg","","Kevin F. Arthur","JUD","Y","","41","13","222","65","31","3","5","2","0","1" 
"01","Allegany County","001-000","06","01C","Appeals Judge MD at Lrg","","Andrea M. Leahy","JUD","Y","","39","16","215","68","29","5","6","1","0","1" 
"01","Allegany County","001-000","06","01C","Board of Education","","Crystal M. Bender","NON","Y","","35","","227","","22","","7","","1","" 
"01","Allegany County","001-000","06","01C","Board of Education","","Tammy Fraley","NON","","","24","","115","","17","","4","","0","" 
"01","Allegany County","001-000","06","01C","Board of Education","","Max Green","NON","Y","","22","","95","","19","","5","","1","" 
"01","Allegany County","001-000","06","01C","Board of Education","","Gerry LaFemina","NON","","","10","","19","","5","","2","","0","" 
"01","Allegany County","001-000","06","01C","Board of Education","","Other Write-Ins","","","Y","0","","4","","0","","0","","0","" 
"01","Allegany County","002-000","06","01C","President - Vice Pres","","Kamala D. Harris and Tim Walz","DEM","Y","","19","","38","","18","","7","","0","" 
"01","Allegany County","002-000","06","01C","President - Vice Pres","","Donald J. Trump and JD Vance","REP","","","88","","319","","36","","17","","3","" 
"01","Allegany County","002-000","06","01C","President - Vice Pres","","Chase Oliver and Mike ter Maat","LIB","","","0","","2","","0","","0","","0","" 
"01","Allegany County","002-000","06","01C","President - Vice Pres","","Jill Ellen Stein and Rudolph Ware","GRN","","","0","","1","","2","","0","","0","" 
"01","Allegany County","002-000","06","01C","President - Vice Pres","","Robert F. Kennedy, Jr. and Nicole Shanahan","UNA","","","2","","2","","1","","1","","0","" 
"01","Allegany County","002-000","06","01C","President - Vice Pres","","Sharon E Harris","DEM","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","002-000","06","01C","President - Vice Pres","","Ralph Jaffe","DEM","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","002-000","06","01C","President - Vice Pres","","Paij Boring and Jaimey Rutschman","REP","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","002-000","06","01C","President - Vice Pres","","Sethatina Newman","REP","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","002-000","06","01C","President - Vice Pres","","Carol Asher","OTC","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","002-000","06","01C","President - Vice Pres","","Jokie Beckett, Jr.","OTC","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","002-000","06","01C","President - Vice Pres","","Claudia De la Cruz and Karina Garcia","OTC","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","002-000","06","01C","President - Vice Pres","","John R. Gibb, Jr.","OTC","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","002-000","06","01C","President - Vice Pres","","Joseph Kishore","OTC","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","002-000","06","01C","President - Vice Pres","","William P. Stodden","OTC","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","002-000","06","01C","President - Vice Pres","","Shiva Ayyadurai and Crystal Ellis","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","002-000","06","01C","President - Vice Pres","","President R. Boddie","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","002-000","06","01C","President - Vice Pres","","Theo Brown, Sr.","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","002-000","06","01C","President - Vice Pres","","Susan Maude Buchser","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","002-000","06","01C","President - Vice Pres","","John Cheng and Wayne Waligorski","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","002-000","06","01C","President - Vice Pres","","Cherunda Fox","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","002-000","06","01C","President - Vice Pres","","Garry Hubbard and Elizabeth Seymour","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","002-000","06","01C","President - Vice Pres","","Shondra Irving","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","002-000","06","01C","President - Vice Pres","","Douglas Jenkins","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","002-000","06","01C","President - Vice Pres","","Brian Larry Kienitz","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","002-000","06","01C","President - Vice Pres","","Richard Mayers","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","002-000","06","01C","President - Vice Pres","","Andrè Ramon McNeil, Sr.","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","002-000","06","01C","President - Vice Pres","","Future Madam Potus and Jessica Kennedy","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","002-000","06","01C","President - Vice Pres","","Benjamin L. Schwalb","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","002-000","06","01C","President - Vice Pres","","Peter Sonski","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","002-000","06","01C","President - Vice Pres","","Lester H. Waller, Jr.","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","002-000","06","01C","President - Vice Pres","","Cornel West and Melina Abdullah","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","002-000","06","01C","President - Vice Pres","","Michael Yost","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","002-000","06","01C","President - Vice Pres","","Other Write-Ins","","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","002-000","06","01C","U.S. Senator","","Angela Alsobrooks","DEM","Y","","15","","27","","17","","4","","0","" 
"01","Allegany County","002-000","06","01C","U.S. Senator","","Larry Hogan","REP","","","82","","298","","36","","20","","3","" 
"01","Allegany County","002-000","06","01C","U.S. Senator","","Mike Scott","LIB","","","7","","24","","1","","1","","0","" 
"01","Allegany County","002-000","06","01C","U.S. Senator","","Patrick J. Burke","OTC","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","002-000","06","01C","U.S. Senator","","Billy Bridges","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","002-000","06","01C","U.S. Senator","","Irwin William Gibbs","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","002-000","06","01C","U.S. Senator","","Christy Renee Helmondollar","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","002-000","06","01C","U.S. Senator","","Robin Rowe","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","002-000","06","01C","U.S. Senator","","Other Write-Ins","","","Y","0","","3","","0","","0","","0","" 
"01","Allegany County","002-000","06","01C","U.S. Congress","06","April McClain Delaney","DEM","Y","","21","","56","","21","","9","","0","" 
"01","Allegany County","002-000","06","01C","U.S. Congress","06","Neil C. Parrott","REP","","","85","","283","","36","","15","","2","" 
"01","Allegany County","002-000","06","01C","U.S. Congress","06","Other Write-Ins","","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","002-000","06","01C","MD Supreme Court","03","Matthew J. Fader","JUD","Y","","70","10","236","60","30","13","13","5","0","0" 
"01","Allegany County","002-000","06","01C","Appeals Judge MD at Lrg","","Anne K. Albright","JUD","Y","","63","17","221","76","28","14","16","3","1","1" 
"01","Allegany County","002-000","06","01C","Appeals Judge MD at Lrg","","Kevin F. Arthur","JUD","Y","","63","16","213","79","32","10","15","4","1","1" 
"01","Allegany County","002-000","06","01C","Appeals Judge MD at Lrg","","Andrea M. Leahy","JUD","Y","","66","15","211","80","29","15","15","4","1","1" 
"01","Allegany County","002-000","06","01C","Board of Education","","Crystal M. Bender","NON","Y","","61","","208","","29","","15","","1","" 
"01","Allegany County","002-000","06","01C","Board of Education","","Tammy Fraley","NON","","","43","","151","","26","","4","","1","" 
"01","Allegany County","002-000","06","01C","Board of Education","","Max Green","NON","Y","","32","","122","","14","","10","","0","" 
"01","Allegany County","002-000","06","01C","Board of Education","","Gerry LaFemina","NON","","","5","","31","","8","","1","","0","" 
"01","Allegany County","002-000","06","01C","Board of Education","","Other Write-Ins","","","Y","3","","2","","0","","0","","0","" 
"01","Allegany County","003-000","06","01C","President - Vice Pres","","Kamala D. Harris and Tim Walz","DEM","Y","","21","","36","","22","","4","","0","" 
"01","Allegany County","003-000","06","01C","President - Vice Pres","","Donald J. Trump and JD Vance","REP","","","98","","335","","31","","13","","1","" 
"01","Allegany County","003-000","06","01C","President - Vice Pres","","Chase Oliver and Mike ter Maat","LIB","","","0","","1","","0","","0","","0","" 
"01","Allegany County","003-000","06","01C","President - Vice Pres","","Jill Ellen Stein and Rudolph Ware","GRN","","","1","","1","","0","","0","","0","" 
"01","Allegany County","003-000","06","01C","President - Vice Pres","","Robert F. Kennedy, Jr. and Nicole Shanahan","UNA","","","0","","4","","1","","0","","0","" 
"01","Allegany County","003-000","06","01C","President - Vice Pres","","Sharon E Harris","DEM","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","003-000","06","01C","President - Vice Pres","","Ralph Jaffe","DEM","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","003-000","06","01C","President - Vice Pres","","Paij Boring and Jaimey Rutschman","REP","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","003-000","06","01C","President - Vice Pres","","Sethatina Newman","REP","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","003-000","06","01C","President - Vice Pres","","Carol Asher","OTC","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","003-000","06","01C","President - Vice Pres","","Jokie Beckett, Jr.","OTC","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","003-000","06","01C","President - Vice Pres","","Claudia De la Cruz and Karina Garcia","OTC","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","003-000","06","01C","President - Vice Pres","","John R. Gibb, Jr.","OTC","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","003-000","06","01C","President - Vice Pres","","Joseph Kishore","OTC","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","003-000","06","01C","President - Vice Pres","","William P. Stodden","OTC","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","003-000","06","01C","President - Vice Pres","","Shiva Ayyadurai and Crystal Ellis","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","003-000","06","01C","President - Vice Pres","","President R. Boddie","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","003-000","06","01C","President - Vice Pres","","Theo Brown, Sr.","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","003-000","06","01C","President - Vice Pres","","Susan Maude Buchser","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","003-000","06","01C","President - Vice Pres","","John Cheng and Wayne Waligorski","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","003-000","06","01C","President - Vice Pres","","Cherunda Fox","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","003-000","06","01C","President - Vice Pres","","Garry Hubbard and Elizabeth Seymour","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","003-000","06","01C","President - Vice Pres","","Shondra Irving","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","003-000","06","01C","President - Vice Pres","","Douglas Jenkins","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","003-000","06","01C","President - Vice Pres","","Brian Larry Kienitz","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","003-000","06","01C","President - Vice Pres","","Richard Mayers","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","003-000","06","01C","President - Vice Pres","","Andrè Ramon McNeil, Sr.","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","003-000","06","01C","President - Vice Pres","","Future Madam Potus and Jessica Kennedy","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","003-000","06","01C","President - Vice Pres","","Benjamin L. Schwalb","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","003-000","06","01C","President - Vice Pres","","Peter Sonski","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","003-000","06","01C","President - Vice Pres","","Lester H. Waller, Jr.","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","003-000","06","01C","President - Vice Pres","","Cornel West and Melina Abdullah","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","003-000","06","01C","President - Vice Pres","","Michael Yost","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","003-000","06","01C","President - Vice Pres","","Other Write-Ins","","","Y","0","","0","","1","","0","","0","" 
"01","Allegany County","003-000","06","01C","U.S. Senator","","Angela Alsobrooks","DEM","Y","","20","","24","","16","","5","","0","" 
"01","Allegany County","003-000","06","01C","U.S. Senator","","Larry Hogan","REP","","","90","","294","","35","","9","","1","" 
"01","Allegany County","003-000","06","01C","U.S. Senator","","Mike Scott","LIB","","","7","","42","","3","","3","","0","" 
"01","Allegany County","003-000","06","01C","U.S. Senator","","Patrick J. Burke","OTC","","Y","0","","2","","0","","0","","0","" 
"01","Allegany County","003-000","06","01C","U.S. Senator","","Billy Bridges","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","003-000","06","01C","U.S. Senator","","Irwin William Gibbs","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","003-000","06","01C","U.S. Senator","","Christy Renee Helmondollar","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","003-000","06","01C","U.S. Senator","","Robin Rowe","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","003-000","06","01C","U.S. Senator","","Other Write-Ins","","","Y","0","","3","","0","","0","","0","" 
"01","Allegany County","003-000","06","01C","U.S. Congress","06","April McClain Delaney","DEM","Y","","22","","41","","20","","4","","0","" 
"01","Allegany County","003-000","06","01C","U.S. Congress","06","Neil C. Parrott","REP","","","93","","318","","31","","13","","1","" 
"01","Allegany County","003-000","06","01C","U.S. Congress","06","Other Write-Ins","","","Y","0","","2","","0","","0","","0","" 
"01","Allegany County","003-000","06","01C","MD Supreme Court","03","Matthew J. Fader","JUD","Y","","65","25","257","62","36","7","13","1","0","1" 
"01","Allegany County","003-000","06","01C","Appeals Judge MD at Lrg","","Anne K. Albright","JUD","Y","","68","24","239","77","32","11","10","4","0","1" 
"01","Allegany County","003-000","06","01C","Appeals Judge MD at Lrg","","Kevin F. Arthur","JUD","Y","","67","23","225","79","34","9","11","3","0","1" 
"01","Allegany County","003-000","06","01C","Appeals Judge MD at Lrg","","Andrea M. Leahy","JUD","Y","","64","26","222","83","32","10","12","2","0","1" 
"01","Allegany County","003-000","06","01C","Board of Education","","Crystal M. Bender","NON","Y","","65","","231","","26","","9","","0","" 
"01","Allegany County","003-000","06","01C","Board of Education","","Tammy Fraley","NON","","","48","","123","","19","","9","","0","" 
"01","Allegany County","003-000","06","01C","Board of Education","","Max Green","NON","Y","","39","","116","","21","","6","","0","" 
"01","Allegany County","003-000","06","01C","Board of Education","","Gerry LaFemina","NON","","","16","","18","","8","","2","","0","" 
"01","Allegany County","003-000","06","01C","Board of Education","","Other Write-Ins","","","Y","0","","2","","0","","0","","0","" 
"01","Allegany County","004-000","06","01B","President - Vice Pres","","Kamala D. Harris and Tim Walz","DEM","Y","","274","","455","","372","","41","","4","" 
"01","Allegany County","004-000","06","01B","President - Vice Pres","","Donald J. Trump and JD Vance","REP","","","609","","1064","","281","","59","","11","" 
"01","Allegany County","004-000","06","01B","President - Vice Pres","","Chase Oliver and Mike ter Maat","LIB","","","3","","11","","3","","0","","1","" 
"01","Allegany County","004-000","06","01B","President - Vice Pres","","Jill Ellen Stein and Rudolph Ware","GRN","","","3","","5","","3","","1","","0","" 
"01","Allegany County","004-000","06","01B","President - Vice Pres","","Robert F. Kennedy, Jr. and Nicole Shanahan","UNA","","","4","","25","","16","","1","","0","" 
"01","Allegany County","004-000","06","01B","President - Vice Pres","","Sharon E Harris","DEM","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","004-000","06","01B","President - Vice Pres","","Ralph Jaffe","DEM","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","004-000","06","01B","President - Vice Pres","","Paij Boring and Jaimey Rutschman","REP","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","004-000","06","01B","President - Vice Pres","","Sethatina Newman","REP","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","004-000","06","01B","President - Vice Pres","","Carol Asher","OTC","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","004-000","06","01B","President - Vice Pres","","Jokie Beckett, Jr.","OTC","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","004-000","06","01B","President - Vice Pres","","Claudia De la Cruz and Karina Garcia","OTC","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","004-000","06","01B","President - Vice Pres","","John R. Gibb, Jr.","OTC","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","004-000","06","01B","President - Vice Pres","","Joseph Kishore","OTC","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","004-000","06","01B","President - Vice Pres","","William P. Stodden","OTC","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","004-000","06","01B","President - Vice Pres","","Shiva Ayyadurai and Crystal Ellis","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","004-000","06","01B","President - Vice Pres","","President R. Boddie","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","004-000","06","01B","President - Vice Pres","","Theo Brown, Sr.","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","004-000","06","01B","President - Vice Pres","","Susan Maude Buchser","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","004-000","06","01B","President - Vice Pres","","John Cheng and Wayne Waligorski","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","004-000","06","01B","President - Vice Pres","","Cherunda Fox","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","004-000","06","01B","President - Vice Pres","","Garry Hubbard and Elizabeth Seymour","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","004-000","06","01B","President - Vice Pres","","Shondra Irving","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","004-000","06","01B","President - Vice Pres","","Douglas Jenkins","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","004-000","06","01B","President - Vice Pres","","Brian Larry Kienitz","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","004-000","06","01B","President - Vice Pres","","Richard Mayers","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","004-000","06","01B","President - Vice Pres","","Andrè Ramon McNeil, Sr.","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","004-000","06","01B","President - Vice Pres","","Future Madam Potus and Jessica Kennedy","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","004-000","06","01B","President - Vice Pres","","Benjamin L. Schwalb","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","004-000","06","01B","President - Vice Pres","","Peter Sonski","UNA","","Y","0","","0","","0","","2","","0","" 
"01","Allegany County","004-000","06","01B","President - Vice Pres","","Lester H. Waller, Jr.","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","004-000","06","01B","President - Vice Pres","","Cornel West and Melina Abdullah","UNA","","Y","0","","1","","0","","0","","0","" 
"01","Allegany County","004-000","06","01B","President - Vice Pres","","Michael Yost","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","004-000","06","01B","President - Vice Pres","","Other Write-Ins","","","Y","1","","5","","1","","0","","0","" 
"01","Allegany County","004-000","06","01B","U.S. Senator","","Angela Alsobrooks","DEM","Y","","230","","348","","318","","40","","5","" 
"01","Allegany County","004-000","06","01B","U.S. Senator","","Larry Hogan","REP","","","592","","1039","","306","","57","","8","" 
"01","Allegany County","004-000","06","01B","U.S. Senator","","Mike Scott","LIB","","","49","","152","","30","","3","","1","" 
"01","Allegany County","004-000","06","01B","U.S. Senator","","Patrick J. Burke","OTC","","Y","3","","1","","0","","0","","0","" 
"01","Allegany County","004-000","06","01B","U.S. Senator","","Billy Bridges","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","004-000","06","01B","U.S. Senator","","Irwin William Gibbs","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","004-000","06","01B","U.S. Senator","","Christy Renee Helmondollar","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","004-000","06","01B","U.S. Senator","","Robin Rowe","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","004-000","06","01B","U.S. Senator","","Other Write-Ins","","","Y","5","","1","","0","","0","","0","" 
"01","Allegany County","004-000","06","01B","U.S. Congress","06","April McClain Delaney","DEM","Y","","288","","530","","383","","46","","5","" 
"01","Allegany County","004-000","06","01B","U.S. Congress","06","Neil C. Parrott","REP","","","564","","955","","254","","50","","9","" 
"01","Allegany County","004-000","06","01B","U.S. Congress","06","Other Write-Ins","","","Y","5","","4","","2","","0","","0","" 
"01","Allegany County","004-000","06","01B","MD Supreme Court","03","Matthew J. Fader","JUD","Y","","593","137","1037","277","404","89","65","17","8","3" 
